,Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,1 Cases every X ppl,1 Death every X ppl,1 test every X ppl,Continent
96,22-7-2020,Hungary,4366,19,596,0,3283,26,487,4,452,62.0,312988,32404,9658852,2212,16206,31,Europe
97,22-7-2020,Albania,4358,68,120,3,2463,66,1775,17,1514,42.0,31383,10906,2877607,660,23980,92,Europe
98,22-7-2020,Greece,4077,29,200,3,1374,0,2503,10,391,19.0,424675,40756,10419887,2556,52099,25,Europe
99,22-7-2020,Paraguay,3817,0,35,0,2307,0,1475,10,535,5.0,108033,15136,7137261,1870,203922,66,South America
100,22-7-2020,Zambia,3583,197,128,0,1677,57,1778,18,195,7.0,72820,3956,18407534,5137,143809,253,Africa
101,22-7-2020,Nicaragua,3439,0,108,0,2492,0,839,0,519,16.0,0,0,6628818,1928,61378,0,North America
102,22-7-2020,Thailand,3261,6,58,0,3105,0,98,1,47,0.8,685316,9817,69810259,21408,1203625,102,Asia
103,22-7-2020,Malawi,3149,104,71,7,1256,76,1822,4,164,4.0,24822,1296,19153158,6082,269763,772,Africa
104,22-7-2020,Somalia,3135,0,93,0,1464,0,1578,2,197,6.0,0,0,15913554,5076,171113,0,Africa
105,22-7-2020,Lebanon,3104,124,43,2,1582,5,1479,15,455,6.0,230049,33714,6823550,2198,158687,30,Asia
106,22-7-2020,Maldives,3103,59,15,0,2397,0,691,12,5735,28.0,69370,128218,541032,174,36069,8,Asia
107,22-7-2020,Equatorial Guinea,3071,0,51,0,842,0,2178,0,2186,36.0,16000,11388,1404976,457,27549,88,Africa
108,22-7-2020,Congo,2851,0,50,0,666,0,2135,0,516,9.0,0,0,5524551,1938,110491,0,Africa
109,22-7-2020,Mayotte,2839,15,38,0,2614,0,187,2,10394,139.0,13000,47596,273130,96,7188,21,Africa
110,22-7-2020,Sri Lanka,2745,15,11,0,2064,16,670,1,128,0.5,143673,6708,21418446,7803,1947131,149,Asia
111,22-7-2020,Mali,2494,17,123,1,1869,13,502,0,123,6.0,20513,1012,20277298,8130,164856,989,Africa
112,22-7-2020,Cuba,2462,13,87,0,2326,5,49,1,217,8.0,232103,20493,11326200,4600,130186,49,North America
113,22-7-2020,Montenegro,2381,0,35,0,426,0,1920,7,3791,56.0,30858,49131,628071,264,17945,20,Europe
114,22-7-2020,South Sudan,2211,0,45,0,1175,0,991,0,197,4.0,12044,1075,11200836,5066,248907,930,Africa
115,22-7-2020,Libya,2176,88,53,3,489,10,1634,0,316,8.0,42499,6181,6876267,3160,129741,162,Africa
116,22-7-2020,Cabo Verde,2154,47,21,0,1132,32,1001,0,3872,38.0,41634,74839,556317,258,26491,13,Africa
117,22-7-2020,Hong Kong,2132,112,14,0,1344,20,774,29,284,2.0,442256,58964,7500386,3518,535742,17,Asia
118,22-7-2020,Slovakia,2058,37,28,0,1556,18,474,2,377,5.0,246133,45081,5459800,2653,194993,22,Europe
119,22-7-2020,Estonia,2025,3,69,0,1912,0,44,1,1526,52.0,115517,87078,1326588,655,19226,11,Europe
120,22-7-2020,Slovenia,2006,29,115,1,1648,23,243,2,965,55.0,124339,59808,2078955,1036,18078,17,Europe
121,22-7-2020,Guinea-Bissau,1954,0,26,0,803,0,1125,5,992,13.0,1500,761,1970238,1008,75778,1313,Africa
122,22-7-2020,Lithuania,1951,2,80,0,1607,6,264,6,717,29.0,489869,180114,2719769,1394,33997,6,Europe
123,22-7-2020,Eswatini,1938,44,25,1,876,21,1037,5,1670,22.0,20784,17905,1160823,599,46433,56,Africa
124,22-7-2020,Iceland,1840,1,10,0,1822,1,8,0,5390,29.0,113204,331618,341369,186,34137,3,Europe
